# AquesTalk1 読み辞書 — fugashi/MeCabで誤読しやすい語を登録（漢字読みはfugashiに委譲）
# フォーマット: 表記<TAB>読み（ひらがな）
# 長い語を先に書くこと（前方一致で長い語を優先マッチするため）
# コメント行は # で始める

# ── 「〜中」複合語（ちゅう読み）─ _REGEX_FIXES の補強として具体例も登録 ──
ダイエット中	ダイエットちゅう
運動中	うんどうちゅう
睡眠中	すいみんちゅう
食事中	しょくじちゅう
作業中	さぎょうちゅう
仕事中	しごとちゅう
勉強中	べんきょうちゅう
休憩中	きゅうけいちゅう
治療中	ちりょうちゅう
育児中	いくじちゅう
妊娠中	にんしんちゅう
入浴中	にゅうよくちゅう
消化中	しょうかちゅう
吸収中	きゅうしゅうちゅう
分解中	ぶんかいちゅう
成長中	せいちょうちゅう
修行中	しゅぎょうちゅう
練習中	れんしゅうちゅう

# ── 日付・時間（口語読み） ─────────────────────────────────────────
昨日	きのう
明日	あした
今日	きょう
今朝	けさ
今夜	こんや

# ── 身体部位・生理現象 ────────────────────────────────────────────
身体	からだ
抜け毛	ぬけげ
白髪	しらが
産毛	うぶげ
体毛	たいもう
眉毛	まゆげ
まつ毛	まつげ
鼻毛	はなげ
脇毛	わきげ
陰毛	いんもう
頭皮	とうひ
皮膚	ひふ
皮下	ひか
粘膜	ねんまく
筋肉	きんにく
脂肪	しぼう
骨格	こっかく
骨盤	こつばん
椎間板	ついかんばん
靭帯	じんたい
腱鞘	けんしょう

# ── 臓器・器官 ────────────────────────────────────────────────────
心臓	しんぞう
肝臓	かんぞう
腎臓	じんぞう
膵臓	すいぞう
脾臓	ひぞう
胆嚢	たんのう
膀胱	ぼうこう
子宮	しきゅう
卵巣	らんそう
前立腺	ぜんりつせん
甲状腺	こうじょうせん
副腎	ふくじん
下垂体	かすいたい
視床下部	ししょうかぶ
扁桃体	へんとうたい
海馬	かいば
大脳皮質	だいのうひしつ
小脳	しょうのう
脊髄	せきずい
末梢神経	まっしょうしんけい
自律神経	じりつしんけい

# ── 疾患・症状 ────────────────────────────────────────────────────
生活習慣病	せいかつしゅうかんびょう
動脈硬化	どうみゃくこうか
心筋梗塞	しんきんこうそく
脳梗塞	のうこうそく
脳卒中	のうそっちゅう
認知症	にんちしょう
アルツハイマー型認知症	あるつはいまーがたにんちしょう
パーキンソン病	ぱーきんそんびょう
糖尿病	とうにょうびょう
高血圧	こうけつあつ
低血圧	ていけつあつ
高脂血症	こうしけっしょう
脂質異常症	ししついじょうしょう
メタボリックシンドローム	めたぼりっくしんどろーむ
肥満	ひまん
骨粗しょう症	こつそしょうしょう
関節炎	かんせつえん
リウマチ	りうまち
花粉症	かふんしょう
アレルギー	あれるぎー
アトピー	あとぴー
気管支炎	きかんしえん
肺炎	はいえん
胃炎	いえん
胃潰瘍	いかいよう
逆流性食道炎	ぎゃくりゅうせいしょくどうえん
不眠症	ふみんしょう
うつ病	うつびょう
不安障害	ふあんしょうがい
自律神経失調症	じりつしんけいしっちょうしょう
更年期障害	こうねんきしょうがい
月経前症候群	げっけいぜんしょうこうぐん
多嚢胞性卵巣症候群	たのうほうせいらんそうしょうこうぐん
脱毛症	だつもうしょう
円形脱毛症	えんけいだつもうしょう
換毛期	かんもうき
換毛	かんもう


# ── 検査値・指標 ──────────────────────────────────────────────────
血糖値	けっとうち
ヘモグロビン	へもぐろびん
ヘモグロビンA1c	へもぐろびんえーわんしー
血圧	けつあつ
収縮期血圧	しゅうしゅくきけつあつ
拡張期血圧	かくちょうきけつあつ
コレステロール	これすてろーる
LDLコレステロール	えるでぃーえるこれすてろーる
HDLコレステロール	えいちでぃーえるこれすてろーる
中性脂肪	ちゅうせいしぼう
尿酸値	にょうさんち
クレアチニン	くれあちにん
eGFR	いーじーえふあーる
BMI	びーえむあい
体脂肪率	たいしぼうりつ
基礎代謝	きそたいしゃ
インスリン抵抗性	いんすりんていこうせい

# ── 栄養素・成分 ──────────────────────────────────────────────────
食物繊維	しょくもつせんい
食物	しょくもつ
ポリフェノール	ぽりふぇのーる
カテキン	かてきん
カフェイン	かふぇいん
クロロゲン酸	くろろげんさん
フラボノイド	ふらぼのいど
アントシアニン	あんとしあにん
リコピン	りこぴん
ルテイン	るてぃん
アスタキサンチン	あすたきさんちん
ベータカロテン	べーたかろてん
ビタミンD	びたみんでぃー
ビタミンC	びたみんしー
ビタミンB12	びたみんびーじゅうに
葉酸	ようさん
鉄分	てつぶん
亜鉛	あえん
マグネシウム	まぐねしうむ
カルシウム	かるしうむ
カリウム	かりうむ
オメガ3	おめがすりー
DHA	でぃーえいちえー
EPA	いーぴーえー
乳酸菌	にゅうさんきん
ビフィズス菌	びふぃずすきん
プロバイオティクス	ぷろばいおてぃくす
プレバイオティクス	ぷればいおてぃくす
コラーゲン	こらーげん
ヒアルロン酸	ひあるろんさん
グルタミン酸	ぐるたみんさん
アミノ酸	あみのさん
必須アミノ酸	ひっすあみのさん
タンパク質	たんぱくしつ
炭水化物	たんすいかぶつ

# ── 生化学・生理学 ────────────────────────────────────────────────
代謝	たいしゃ
基礎代謝	きそたいしゃ
糖代謝	とうたいしゃ
脂質代謝	ししつたいしゃ
抗酸化	こうさんか
酸化ストレス	さんかすとれす
炎症	えんしょう
慢性炎症	まんせいえんしょう
免疫力	めんえきりょく
免疫	めんえき
腸内環境	ちょうないかんきょう
腸内細菌	ちょうないさいきん
腸内フローラ	ちょうないふろーら
短鎖脂肪酸	たんさしぼうさん
コルチゾール	こるちぞーる
アドレナリン	あどれなりん
セロトニン	せろとにん
ドーパミン	どーぱみん
メラトニン	めらとにん
テストステロン	てすとすてろん
エストロゲン	えすとろげん
プロゲステロン	ぷろげすてろん
インスリン	いんすりん
グルカゴン	ぐるかごん
レプチン	れぷちん
グレリン	ぐれりん
成長ホルモン	せいちょうほるもん
甲状腺ホルモン	こうじょうせんほるもん
活性酸素	かっせいさんそ
細胞分裂	さいぼうぶんれつ
遺伝子	いでんし
DNA	でぃーえぬえー
脂肪燃焼	しぼうねんしょう
老化防止	ろうかぼうし
老化	ろうか
動脈	どうみゃく
静脈	じょうみゃく
毛細血管	もうさいけっかん
血流	けつりゅう
リンパ	りんぱ
造血	ぞうけつ

# ── 治療・対策 ────────────────────────────────────────────────────
投薬	とうやく
処方	しょほう
処方箋	しょほうせん
副作用	ふくさよう
臨床試験	りんしょうしけん
メタ分析	めたぶんせき
ランダム化比較試験	らんだむかひかくしけん
エビデンス	えびでんす
プラセボ	ぷらせぼ
対照群	たいしょうぐん
有酸素運動	ゆうさんそうんどう
無酸素運動	むさんそうんどう
筋トレ	きんとれ
ストレッチ	すとれっち
頭皮マッサージ	とうひまっさーじ
マッサージ	まっさーじ
サプリメント	さぷりめんと
漢方薬	かんぽうやく

# ── よく使う複合語・慣用句 ───────────────────────────────────────
一般的	いっぱんてき
一時的	いちじてき
一方的	いっぽうてき
一方で	いっぽうで
一石二鳥	いっせきにちょう
一応	いちおう
効果的	こうかてき
積極的	せっきょくてき
定期的	ていきてき
継続的	けいぞくてき
悪影響	あくえいきょう
逆効果	ぎゃくこうか
大事な	だいじな
特定の	とくていの
特に	とくに
案外	あんがい
流石	さすが
所詮	しょせん
今更	いまさら
上手く	うまく
上手い	うまい
上手な	うまな
下手くそ	へたくそ
下手に	へたに
下手な	へたな
下手だ	へただ
何気に	なにげに
何故なら	なぜなら
何故か	なぜか
何故	なぜ
何でも	なんでも
何だ	なんだ
身体	からだ
